property_id,address,neighbourhood,ward,assessed_value,garage,latitude,longitude,lot_size_sf,total_living_area_sf,year_built,land_value,improvement_value,bedrooms,bathrooms,basement,property_type,property_use,building_age,price_per_sqft,land_to_building_ratio,annual_tax
10000000,"18230 107A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,428500,Y,53.6444958,-113.510582,395.758,137,2003,149975,278525,4,2,Finished,Duplex,Rental Property,22,3127.737226,2.888744526,5142
10000001,"18234 107A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,438500,Y,53.64458907,-113.5105701,364.863,136.9,2003,153475,285025,4,2,None,Single Family Home,Residential,22,3203.067933,2.665178963,5262
10000002,"18238 107A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,439000,Y,53.64468228,-113.5105595,364.866,151.4,2003,153650,285350,4,2,Finished,Row Housing,Investment Property,22,2899.603699,2.40994716,5268
10000003,"18242 107A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,440000,Y,53.6447849,-113.5105496,424.504,136.8,2003,154000,286000,4,2,Unfinished,Single Family Home,Residential,22,3216.374269,3.103099415,5280
10000004,"18203 107 STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,487500,Y,53.64462794,-113.5084353,551.298,133.3,2003,170625,316875,4,2.5,Partially Finished,Single Family Home,Rental Property,22,3657.164291,4.135768942,5850
10000005,"18207 107 STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,520500,Y,53.64476202,-113.5084326,426.231,181.8,2004,182175,338325,4,2.5,Partially Finished,Condominium,Residential,21,2863.036304,2.34450495,6246
10000006,"18211 107 STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,501500,Y,53.64488139,-113.5084258,471.584,176.5,2004,175525,325975,4,2.5,Finished,Condominium,Residential,21,2841.359773,2.671864023,6018
10000007,"18214 106A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,473000,Y,53.64490366,-113.5078877,453.334,132.4,2003,165550,307450,4,2.5,Partially Finished,Duplex,Residential,22,3572.507553,3.42397281,5676
10000008,"18210 106A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,512000,Y,53.64478801,-113.5078888,406.971,183,2003,179200,332800,4,2.5,Partially Finished,Single Family Home,Residential,22,2797.814208,2.223885246,6144
10000009,"18206 106A STREET NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,480500,Y,53.64466939,-113.5078902,474.697,125.9,2003,168175,312325,4,2.5,Partially Finished,Condominium,Residential,22,3816.521048,3.770428912,5766
10000010,"169 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,440500,Y,53.64427089,-113.5069775,385.913,147.2,2003,154175,286325,4,2,Partially Finished,Condominium,Rental Property,22,2992.527174,2.621691576,5286
10000011,"171 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,438500,Y,53.64427158,-113.5071438,385.917,112.2,2003,153475,285025,4,2,Partially Finished,Single Family Home,Owner Occupied,22,3908.199643,3.439545455,5262
10000012,"173 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,446000,Y,53.64427226,-113.5073101,385.922,139.9,2003,156100,289900,4,2,Unfinished,Single Family Home,Residential,22,3187.991422,2.758556112,5352
10000013,"175 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,446000,Y,53.64427295,-113.5074764,385.926,112.2,2003,156100,289900,4,2,Partially Finished,Condominium,Residential,22,3975.044563,3.439625668,5352
10000014,"177 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,436000,Y,53.64427363,-113.5076426,385.931,139.9,2003,152600,283400,4,2,Unfinished,Row Housing,Residential,22,3116.511794,2.758620443,5232
10000015,"179 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,449500,Y,53.64427422,-113.5078113,391.105,146.1,2003,157325,292175,4,2,Finished,Single Family Home,Owner Occupied,22,3076.659822,2.67696783,5394
10000016,"181 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,461000,Y,53.64427449,-113.5079931,402.8,125.1,2003,161350,299650,4,2.5,Unfinished,Single Family Home,Residential,22,3685.051958,3.219824141,5532
10000017,"183 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,438000,Y,53.64426116,-113.5081673,403.409,139.9,2003,153300,284700,4,2,Partially Finished,Single Family Home,Residential,22,3130.80772,2.883552538,5256
10000018,"185 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,468000,Y,53.64424246,-113.5083379,406.908,156,2003,163800,304200,4,2.5,Unfinished,Single Family Home,Residential,22,3000,2.608384615,5616
10000019,"187 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,460000,Y,53.64421457,-113.5085056,406.457,125.2,2003,161000,299000,4,2.5,None,Single Family Home,Residential,22,3674.121406,3.246461661,5520
10000020,"189 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,453500,Y,53.64418326,-113.5086864,428.374,156,2003,158725,294775,4,2.5,Finished,Duplex,Residential,22,2907.051282,2.745987179,5442
10000021,"191 CASTLE DRIVE NW Edmonton, AB",CHAMBERY,tastawiyiniwak Ward,456500,Y,53.64414416,-113.5088857,470.457,132.1,2003,159775,296725,4,2.5,Finished,Duplex,Residential,22,3455.715367,3.561370174,5478
10000024,"179 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,451000,Y,53.42877431,-113.5228416,384.716,129.3,2004,157850,293150,4,2.5,Unfinished,Single Family Home,Owner Occupied,21,3488.012374,2.975375097,5412
10000025,"181 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,445500,Y,53.42877431,-113.5230071,384.662,141.9,2003,155925,289575,4,2,None,Single Family Home,Owner Occupied,22,3139.534884,2.710796335,5346
10000026,"183 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,478000,Y,53.42877432,-113.5231726,384.61,179.1,2004,167300,310700,4,2.5,Partially Finished,Single Family Home,Residential,21,2668.900056,2.14745952,5736
10000027,"185 MACEWAN ROAD SW Edmonton, AB",MACEWAN,Ipiihkoohkanipiaohtsi Ward,459500,Y,53.42877433,-113.5233381,384.557,166.3,2003,160825,298675,4,2.5,None,Single Family Home,Residential,22,2763.078773,2.312429345,5514
